cycle number	Ecell/V	<I>/mA	time/s	
1.000000000000000E+000	1.8467259E-001	7.599210831264696E-001	1.400668166528165E+004
1.000000000000000E+000	1.8544278E-001	7.601719289250326E-001	1.400683566528896E+004
1.000000000000000E+000	1.8620807E-001	7.608098173361348E-001	1.400698766529618E+004
1.000000000000000E+000	1.8696178E-001	7.611459102612450E-001	1.400713966530340E+004
1.000000000000000E+000	1.8778068E-001	7.615718411355861E-001	1.400729366531072E+004
1.000000000000000E+000	1.8850790E-001	7.620358994575245E-001	1.400744566531794E+004
1.000000000000000E+000	1.8929742E-001	7.624356591293200E-001	1.400759766532516E+004
1.000000000000000E+000	1.9005224E-001	7.627575041957950E-001	1.400775066533242E+004
1.000000000000000E+000	1.9083548E-001	7.631777438489964E-001	1.400790366533969E+004
1.000000000000000E+000	1.9160563E-001	7.635667695461059E-001	1.400805566534691E+004
1.000000000000000E+000	1.9229703E-001	7.640160482280844E-001	1.400820766535413E+004
1.000000000000000E+000	1.9306751E-001	7.642837009748202E-001	1.400836166536144E+004
1.000000000000000E+000	1.9383121E-001	7.645917599824470E-001	1.400851366536866E+004
1.000000000000000E+000	1.9458653E-001	7.649142426074373E-001	1.400866566537588E+004
1.000000000000000E+000	1.9538605E-001	7.652189002854337E-001	1.400881966538320E+004
1.000000000000000E+000	1.9614232E-001	7.659879468765283E-001	1.400897166539042E+004
1.000000000000000E+000	1.9691022E-001	7.663816818814795E-001	1.400912366539764E+004
1.000000000000000E+000	1.9761099E-001	7.666851508952384E-001	1.400927766540495E+004
1.000000000000000E+000	1.9841115E-001	7.671776695102785E-001	1.400942966541217E+004
1.000000000000000E+000	1.9918130E-001	7.675698991228044E-001	1.400958166541939E+004
1.000000000000000E+000	1.9991678E-001	7.679081671798293E-001	1.400973466542666E+004
1.000000000000000E+000	2.0073098E-001	7.684314699987462E-001	1.400988766543393E+004
1.000000000000000E+000	2.0147984E-001	7.688347662186177E-001	1.401003966544115E+004
1.000000000000000E+000	2.0227067E-001	7.691622019006008E-001	1.401019166544836E+004
1.000000000000000E+000	2.0299916E-001	7.692972405767815E-001	1.401034566545568E+004
1.000000000000000E+000	2.0379934E-001	7.696640384438034E-001	1.401049766546290E+004
1.000000000000000E+000	2.0455529E-001	7.700727342756633E-001	1.401064966547012E+004
1.000000000000000E+000	2.0529090E-001	7.704090409294886E-001	1.401080366547743E+004
1.000000000000000E+000	2.0603588E-001	7.710256661251336E-001	1.401095566548465E+004
1.000000000000000E+000	2.0683801E-001	7.712931918543013E-001	1.401110766549187E+004
1.000000000000000E+000	2.0759429E-001	7.715768785034871E-001	1.401126166549919E+004
1.000000000000000E+000	2.0836960E-001	7.720312823735576E-001	1.401141366550641E+004
1.000000000000000E+000	2.0912008E-001	7.724196761584849E-001	1.401156566551363E+004
1.000000000000000E+000	2.0992357E-001	7.726455282780420E-001	1.401171866552089E+004
1.000000000000000E+000	2.1063392E-001	7.730610053593665E-001	1.401187166552816E+004
1.000000000000000E+000	2.1142827E-001	7.735044413553753E-001	1.401202366553538E+004
1.000000000000000E+000	2.1215551E-001	7.737506252802913E-001	1.401217566554260E+004
1.000000000000000E+000	2.1297699E-001	7.740415381987460E-001	1.401232966554991E+004
1.000000000000000E+000	2.1371324E-001	7.743502790828085E-001	1.401248166555713E+004
1.000000000000000E+000	2.1442434E-001	7.746244087745483E-001	1.401263366556435E+004
1.000000000000000E+000	2.1525775E-001	7.749878335787770E-001	1.401278766557167E+004
1.000000000000000E+000	2.1599950E-001	7.754625104786519E-001	1.401293966557889E+004
1.000000000000000E+000	2.1678226E-001	7.757862234003916E-001	1.401309166558611E+004
1.000000000000000E+000	2.1754207E-001	7.760383411631215E-001	1.401324566559342E+004
1.000000000000000E+000	2.1827383E-001	7.764539303960358E-001	1.401339766560064E+004
1.000000000000000E+000	2.1905367E-001	7.767891507831344E-001	1.401354966560786E+004
1.000000000000000E+000	2.1984778E-001	7.770622570222159E-001	1.401370266561513E+004
1.000000000000000E+000	2.2055331E-001	7.775814330131148E-001	1.401385566562240E+004
1.000000000000000E+000	2.2135186E-001	7.779343830513152E-001	1.401400766562962E+004
1.000000000000000E+000	2.2209297E-001	7.781329236017323E-001	1.401415966563683E+004
1.000000000000000E+000	2.2283633E-001	7.784244422680875E-001	1.401431366564415E+004
1.000000000000000E+000	2.2357294E-001	7.786095915689391E-001	1.401446566565137E+004
1.000000000000000E+000	2.2433759E-001	7.788849612850646E-001	1.401461766565859E+004
1.000000000000000E+000	2.2510387E-001	7.793351948191489E-001	1.401477166566590E+004
1.000000000000000E+000	2.2588791E-001	7.797413004749822E-001	1.401492366567312E+004
1.000000000000000E+000	2.2667097E-001	7.800067148108107E-001	1.401507566568034E+004
1.000000000000000E+000	2.2744758E-001	7.802638485678739E-001	1.401522966568766E+004
1.000000000000000E+000	2.2821225E-001	7.807030800023309E-001	1.401538166569488E+004
1.000000000000000E+000	2.2891754E-001	7.810213169392686E-001	1.401553366570210E+004
1.000000000000000E+000	2.2971642E-001	7.812437690313772E-001	1.401568666570936E+004
1.000000000000000E+000	2.3041685E-001	7.815468130367158E-001	1.401583966571663E+004
1.000000000000000E+000	2.3120701E-001	7.819090855746254E-001	1.401599166572385E+004
1.000000000000000E+000	2.3197621E-001	7.821137912449304E-001	1.401614366573107E+004
1.000000000000000E+000	2.3280382E-001	7.824079824013950E-001	1.401629766573838E+004
1.000000000000000E+000	2.3354559E-001	7.825809917401756E-001	1.401644966574560E+004
1.000000000000000E+000	2.3429990E-001	7.827498022318622E-001	1.401660166575282E+004
1.000000000000000E+000	2.3505102E-001	7.832087063224034E-001	1.401675566576014E+004
1.000000000000000E+000	2.3577665E-001	7.835457009684266E-001	1.401690766576736E+004
1.000000000000000E+000	2.3654550E-001	7.838868402223813E-001	1.401705966577458E+004
1.000000000000000E+000	2.3735052E-001	7.843053914187821E-001	1.401721366578189E+004
